Iteração,x,y,z,abs,rel
0,0.25,0.3333333333333333,1.5,1.5,1.0
1,0.04166666666666666,0.75,1.7083333333333333,0.4166666666666667,5.000000000000002
2,0.19791666666666669,0.8888888888888888,2.2291666666666665,0.5208333333333333,0.7894736842105263
3,0.1371527777777778,1.0104166666666667,2.2899305555555554,0.1215277777777779,0.44303797468354433
4,0.18272569444444453,1.0509259259259258,2.4418402777777777,0.15190972222222232,0.24940617577197177
5,0.1650028935185185,1.0863715277777777,2.4595630787037033,0.03544560185185186,0.10740903112669953
6,0.17829499421296302,1.0981867283950615,2.503870081018518,0.04430700231481488,0.07455117151841004
7,0.1731258439429012,1.1085250289351851,2.50903923128858,0.010338300540123635,0.029857762147670223
8,0.1770027066454476,1.1119711291152263,2.5219621069637346,0.01292287567515471,0.021902844176909096
9,0.17549503781667952,1.1149864667727625,2.5234697757925026,0.0030153376575361435,0.008590948482218447
10,0.17662578943825558,1.1159915793252744,2.5272389478644226,0.0037691720719199573,0.006401962166297008
11,0.17618605269653154,1.1168710528087222,2.5276786846061468,0.0008794734834478568,0.0024958657907016963
12,0.17651585525282443,1.1171642106365385,2.5287780264604565,0.00109934185430971,0.0018684018827686225
13,0.17638759870315512,1.1174207237358773,2.5289062830101265,0.0002565130993388287,0.0007271290646977278
14,0.17648379111540702,1.1175062281023238,2.5292269243842997,0.0003206413741732028,0.0005450495574916094
15,0.17644638295508697,1.1175810444229641,2.5292643325446202,7.481632064032517e-05,0.00021200865494405469
