,Iteração,a,b,f(a),f(b),ze,f(ze),|XN - XN-1|,|XN - XN-1|/|Xn|,|F(ze)|
0,0,1.0,2.0,-1.0,0.3862943611198906,1.7213475204444817,-0.06512337855212702,0.2786524795555183,0.1618804316071896,0.06512337855212702
1,1,2.0,1.7213475204444817,0.3862943611198906,-0.06512337855212702,1.7615470724686613,-0.0026253624196195258,0.040199552024179575,0.022820594835335994,0.0026253624196195258
2,2,1.7213475204444817,1.7615470724686613,-0.06512337855212702,-0.0026253624196195258,1.7632357403608718,2.022561260428546e-05,0.0016886678922105602,0.000957709654787822,2.022561260428546e-05
3,3,1.7615470724686613,1.7632357403608718,-0.0026253624196195258,2.022561260428546e-05,1.7632228304360502,-6.136692598524007e-09,1.2909924821613572e-05,7.321777258533404e-06,6.136692598524007e-09
4,4,1.7632357403608718,1.7632228304360502,2.022561260428546e-05,-6.136692598524007e-09,1.7632228304360502,-6.136692598524007e-09,1.2909924821613572e-05,7.321777258533404e-06,6.136692598524007e-09
