,Iteração,x,f(x),|f(x)|,|xn - xn-1|,|xn - xn-1|/|xn|,B(x)
0,0,2.0,0.3862943611198906,0.3862943611198906,0.3512787292998718,0.1931471805599453,1.6487212707001282
1,1,1.6487212707001282,-0.1756393646499359,0.1756393646499359,0.18533610849835935,0.10653065971263341,1.8340573791984875
2,2,1.8340573791984875,0.1124120321560822,0.1124120321560822,0.10903640063991205,0.06129144782002843,1.7250209785585755
3,3,1.7250209785585755,-0.05945092115251194,0.05945092115251194,0.0604872469476625,0.034463882985463185,1.785508225506238
4,4,1.785508225506238,0.03506464425621392,0.03506464425621392,0.03472257919859345,0.019638466939166398,1.7507856463076445
5,5,1.7507856463076445,-0.019446888399939355,0.019446888399939355,0.019555292757056142,0.01110752103831344,1.7703409390647007
6,6,1.7703409390647007,0.011169438587926406,0.011169438587926406,0.011134277450905339,0.006309201996891852,1.7592066616137954
7,7,1.7592066616137954,-0.00628934077341492,0.00628934077341492,0.0063005966960569815,0.0035751005897427875,1.7655072583098523
8,8,1.7655072583098523,0.003581498884433154,0.003581498884433154,0.0035778686345686594,0.00202859482314549,1.7619293896752837
9,9,1.7619293896752837,-0.002026538615306439,0.002026538615306439,0.0020277045058865184,0.0011501815153216338,1.7639570941811702
10,10,1.7639570941811702,0.0011508432277529401,0.0011508432277529401,0.0011504678920501998,0.0006524213267710813,1.76280662628912
11,11,1.76280662628912,-0.0006522085462539184,0.0006522085462539184,0.0006523292141840109,0.0003699830353071006,1.763458955503304
12,12,1.763458955503304,0.0003700514874722671,0.0003700514874722671,0.00037001266362413077,0.00020984411705043157,1.7630889428396799
13,13,1.7630889428396799,-0.00020982210131370582,0.00020982210131370582,0.00020983458708800917,0.00011900823391006045,1.7632987774267679
14,14,1.7632987774267679,0.00011901531567093393,0.00011901531567093393,0.00011901129924263287,6.749583065248668e-05,1.7631797661275252
15,15,1.7631797661275252,-6.749355286028713e-05,6.749355286028713e-05,6.749484468482336e-05,3.827945065892137e-05,1.76324726097221
16,15,1.7631797661275252,-6.749355286028713e-05,6.749355286028713e-05,6.749484468482336e-05,3.827945065892137e-05,1.76324726097221
